srn,manufacturer,mandateType,manufacturer_country,mandate_holder_chrn,mandate_holder_name,mandate_holder_uid
CN-MF-000032267,"Guangzhou Kangrun Biotech Co., Ltd.",MF,CN,CHRN-AR-20002798,AliveDx Suisse SA,CHE167592818
CN-MF-000032282,"Ningbo Boya Medical Equipment Co., Ltd.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000032462,"Zhejiang Greylynx Biotech Co., Ltd.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000032698,"Hygeia Medical Co.,Ltd.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000032793,"Hetaida Technology Co., Ltd.",MF,CN,CHRN-AR-20002385,Share Info Suisse GmbH,CHE396680064
CN-MF-000032796,"Shanghai MicroPort CardioAdvent Co., Ltd.",MF,CN,CHRN-AR-20001374,MicroPort CRM GmbH,CHE282436623
CN-MF-000032892,"Tiantai Typhung Medical Supplies Co., Ltd.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000032900,"Health Plus (Shanghai) International Co.,Ltd",MF,CN,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CN-MF-000033003,"Shanwei Perfect Medical Instument Co., Ltd",MF,CN,CHRN-AR-20002834,FTC Frey Trading & Consulting Sàrl,CHE112583342
CN-MF-000033439,"Guilin HBM Health Protections, Inc.",MF,CN,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CN-MF-000033456,"Hangzhou SHINING3D Dental Technology Co., Ltd.",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000033671,"Motic China Group Co., Ltd.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000033832,"Hangzhou Jimushi Meditech Co., Ltd",MF,CN,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
CN-MF-000033837,"Shanghai Pulse Medical Technology, Inc.",MF,CN,CHRN-AR-20001374,MicroPort CRM GmbH,CHE282436623
CN-MF-000033952,TowardPi (Shanghai) Medical Technology Ltd.,MF,CN,CHRN-AR-20001735,VISAVI Instruments suisses Sàrl,CHE111724309
CN-MF-000034966,Shenzhen XFT Medical Limited,MF,CN,CHRN-AR-20001306,ALBO Healthcare GmbH,CHE115819481
CN-MF-000035092,"Weifang KAWA Medical Product Co. ,Ltd",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000035103,"Shanghai Berry Electronic Tech Co., Ltd.",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000035398,"Dongguan Belcare Medical Technology Co., Ltd.",MF,CN,CHRN-AR-20002165,Medlife SA,CHE107507269
CN-MF-000035646,Dongguan Jiuhui Industrial Limited [EN],MF,CN,CHRN-AR-20003175,StayHealthy GmbH,CHE323834526
CN-MF-000035808,"VINCENT MEDICAL MANUFACTURING CO., LIMITED",MF,CN,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
CN-MF-000035941,"Ningbo Hanyue Medical Technology Co., Ltd.",MF,CN,CHRN-AR-20001936,PMSA AG,CHE113033788
CN-MF-000035990,"Suqian Excellent Science And Technology Co., Ltd",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000036224,"Changzhou Yimeng Medical Supplies Co., Ltd.",MF,CN,CHRN-AR-20002877,PMS Process Management System Sàrl,CHE169214540
CN-MF-000036544,"Hangzhou Weize Imp & Exp Co., Ltd.",MF,CN,CHRN-AR-20002218,Pharmapost AG,CHE100609851
CN-MF-000036801,"EaglenosSciences,Inc.",MF,CN,CHRN-AR-20010440,Eaglenos Sciences(Switzerland) AG,CHE297118221
CN-MF-000036849,Ningbo Wise OptoMech Technology Corporation,MF,CN,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CN-MF-000036867,"Yuhuan City Shengbo Mould Manufacturing Co.,Ltd.",MF,CN,CHRN-AR-20002021,OROXUS Sàrl,CHE158901843
CN-MF-000037011,YASEE BioMedical Inc.,MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000037357,"Yuyao Haijie Medical Supplies Co., LTD",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000037449,"AOJ HEALTH Technology Co., Ltd.",MF,CN,CHRN-AR-20002385,Share Info Suisse GmbH,CHE396680064
CN-MF-000037456,EMSRUN GROUP,MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000037458,"Sihong Ophsurin Co.,Ltd",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000037475,Wuxi EA Medical Instruments Technologies Limited.,MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000037606,iRay Group,MF,CN,CHRN-AR-20002214,W & H CH AG,CHE110577715
CN-MF-000038113,"Genray Hangzhou Life Technology Co., Ltd",MF,CN,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
CN-MF-000038492,"Solaris Medical Technology,Inc",MF,CN,CHRN-AR-20002165,Medlife SA,CHE107507269
CN-MF-000038586,"Suzhou AcuVu Medical Technology Co., Ltd.",MF,CN,CHRN-AR-20002903,VELDANA MEDICAL SA,CHE100834075
CN-MF-000038720,"Chongqing Haifu Medical Technology Co., Ltd.",MF,CN,CHRN-AR-20000675,Leuag AG,CHE106004416
CN-MF-000038863,Foshan Dade Medical Technology Co. Ltd.,MF,CN,CHRN-AR-20003134,MTSdevices - Wiederkehr,CHE352537036
CN-MF-000038964,"WENZHOU AMTECH MEDICAL TECHNOLOGY CO., LTD.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000039003,"Huizhou Anboson Technology Co., Ltd.",MF,CN,CHRN-AR-20001936,PMSA AG,CHE113033788
CN-MF-000039246,"Nanjing Orange Medical Product Co., Ltd.",MF,CN,CHRN-AR-20010050,ZweiTECH Sagl,CHE490245345
CN-MF-000039483,"JIANGSU JIANZHIYUAN MEDICAL INSTRUMENTS TECHNOLOGY CO., LTD.",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000040066,"Wuxi Kangyou Medical Products Co.,Ltd.",MF,CN,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
CN-MF-000040554,"SHANGHAI HWALLONE OPTICS CO.,LTD",MF,CN,CHRN-AR-20010075,Bonocler AG,CHE189099733
CN-MF-000041029,Guanhong plastic steel products factory,MF,CN,CHRN-AR-20001517,All4Care AG,CHE423194940
CN-MF-000041069,"Changzhou Kangdi Medical Stapler Co., Ltd.",MF,CN,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
CN-MF-000041149,"Sihong Surgitrac Co., Ltd",MF,CN,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CN-MF-000041323,"Changzhou Hekang Medical Instruments Co., Ltd.",MF,CN,CHRN-AR-20000873,Sarstedt AG,CHE102336888
CN-MF-000041504,China HuaMei Medical Instrument Co Ltd,MF,CN,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CN-MF-000042578,"Jiaxing Tianhe Pharmaceutical Co., Ltd.",MF,CN,CHRN-AR-20010068,Balmung Medical Swiss GmbH,CHE290518068
CN-MF-000042653,Even Realities LTD.,MF,CN,CHRN-AR-20002462,SeenVision GmbH,CHE376003400
CN-MF-000042854,"Taizhou Yafeng Glasses Co., Ltd",MF,CN,CHRN-AR-20001302,Beck Optikhandel GmbH,CHE105724933
CN-MF-000043705,"Lifemotion Medical Technology Co., Ltd.",MF,CN,CHRN-AR-20010541,"CBM LIFEMOTION S.R.L., Mirandola, Succursale svizzera (Paradiso)",CHE168720533
CN-MF-000045420,"Zhejiang Rongrong Hosiery Co., Ltd.",MF,CN,CHRN-AR-20010267,SANKOM SA,CHE110064290
CN-MF-000046575,DIRO OPTICAL TECHNOLOGY LIMITED COMPANY (Jisco Eyewear),MF,CN,CHRN-AR-20001818,Reize Optik AG,CHE312090230
CN-MF-000047760,"Guangdong Kangerle Medical Instruments Co., Ltd.",MF,CN,CHRN-AR-20002937,SUNGO Technical Service GmbH,CHE455801922
CN-MF-000048147,Wuhan Kensmile Trading Co. LTD,MF,CN,CHRN-AR-20010634,MediTex Switzerland GmbH,CHE454327384
CN-MF-000048528,"Hefei Telijie Sanitary Material Co., Ltd.",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-000051846,"Wujiang Wuyang Medical Equipment Co.,Ltd.",MF,CN,CHRN-AR-20003435,Prolinx GmbH,CHE254553956
CN-MF-00017381,"Unimax Medical Products Co., Ltd.",MF,CN,CHRN-AR-20010233,Swissina AG,CHE102233426
CN-MF000021132,Cathvision,MF,DK,CHRN-AR-20000145,QS Experts AG,CHE103479496
CN-MF000031315,"Shandong Shinrise Medical Supplies Co.,LTD",MF,TW,CHRN-AR-20010050,ZweiTECH Sagl,CHE490245345
CN-PR-000034509,Winner Medical Co Ltd,PR,CN,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CN-PR-000040264,"Walser Industries China (Hangzhou) Co., Ltd.",PR,CN,CHRN-AR-20002993,Walser Industrial Group Aktiengesellschaft,CHE105175251
CO-MF-000018348,UNIQUE INTERNATIONAL SAS,MF,CO,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
CR-MF-000008155,Establishment Labs S.A.,MF,CR,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
CR-MF-000024140,"Terumo Cardiovascular Costa Rica, LLC",MF,CR,CHRN-AR-20001345,"Terumo Deutschland GmbH, Eschborn, Zweigniederlassung Spreitenbach",CHE113968816
CZ-MF-000000005,Dr. Müller Pharma s.r.o.,MF,CZ,CHRN-AR-20002218,Pharmapost AG,CHE100609851
CZ-MF-000000945,SpofaDental a.s.,MF,CZ,CHRN-AR-20000880,Nobel Biocare Services AG,CHE110128004
CZ-MF-000001824,DEYMED Diagnostic s.r.o,MF,CZ,CHRN-AR-20001690,Freyr Life Sciences GmbH,CHE339468048
CZ-MF-000002370,GeneProof a.s.,MF,CZ,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
CZ-MF-000002864,"COMPEX, spol. s r.o. ",MF,CZ,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
CZ-MF-000002892,Parabel s.r.o,MF,CZ,CHRN-AR-20003701,DOMITNER GmbH,CHE440642939
CZ-MF-000003103,"AVEFLOR, a.s.",MF,CZ,CHRN-AR-20000751,IVF HARTMANN AG,CHE109830474
CZ-MF-000006120,"MZ Liberec, a.s.",MF,CZ,CHRN-AR-20000187,ewimed Switzerland AG,CHE114986679
CZ-MF-000006577,Sterimed s.r.o.,MF,CZ,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CZ-MF-000011615,Bioster A.S.,MF,CZ,CHRN-AR-20002193,Baxter Healthcare SA,CHE108744932
CZ-MF-000016193,MEDKONSULT medical technology s.r.o.,MF,CZ,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CZ-MF-000017071,Drylock Technologies s.r.o.,MF,CZ,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CZ-MF-000018741,Global Biomedica s.r.o.,MF,CZ,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CZ-MF-000018857,GENERI BIOTECH s.r.o.,MF,CZ,CHRN-AR-20003213,Labgene Scientific SA,CHE114160917
CZ-MF-000019708,GAS CONTROL EQUIPEMENT GCE s.r.o,MF,CZ,CHRN-AR-20002165,Medlife SA,CHE107507269
CZ-MF-000019992,"ProSpon, s.r.o.",MF,CZ,CHRN-AR-20003282,Stemcup Medical Products AG,CHE102286641
CZ-MF-000020041,Deflamed International s.r.o.,PR,CZ,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
CZ-MF-000023038,BATIST Medical a.s.,MF,CZ,CHRN-AR-20000751,IVF HARTMANN AG,CHE109830474
CZ-MF-000023791,"DYNEX TECHNOLOGIES, spol. s r.o.",MF,CZ,CHRN-AR-20003281,Endotell AG,CHE107389515
CZ-MF-000024303,"Medites Pharma, spol. s r.o.",MF,CZ,CHRN-AR-20002021,OROXUS Sàrl,CHE158901843
CZ-MF-000025244,"ELISABETH PHARMACON, spol. s r.o.",MF,CZ,CHRN-AR-20003213,Labgene Scientific SA,CHE114160917
CZ-MF-000029098,VDI Technologies s.r.o.,MF,CZ,CHRN-AR-20002390,TAS SAT AG,CHE204563935
CZ-MF-000035668,Drillbone s.r.o.,MF,CZ,CHRN-AR-20000339,Inspera GmbH,CHE459793434
CZ-MF-000036962,ALP ecology s.r.o.,MF,CZ,CHRN-AR-20001517,All4Care AG,CHE423194940
CZ-MF-000037413,CB21 Pharma s.r.o.,MF,CZ,CHRN-AR-20002766,PUREXIS SA,CHE194015771
CZ-MF-000040871,"Bismed, s.r.o.",MF,CZ,CHRN-AR-20001445,Cosanum AG,CHE107967501
CZ-MF-000041086,EMBITRON s.r.o.,MF,CZ,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
DE-MF-000000021,MEDEL Medizinische Elektronik Handelsgesellschaft mbH,MF,DE,CHRN-AR-20002560,Orthotec AG,CHE107604530
DE-MF-000000022,SCHEU-DENTAL GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000000023,NOBAMED Paul Danz AG,MF,DE,CHRN-AR-20001445,Cosanum AG,CHE107967501
DE-MF-000000029,Sirona Dental Systems GmbH,MF,DE,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
DE-MF-000000171,AcrylX GmbH,MF,DE,CHRN-AR-20002305,Tecor-Dental AG,CHE112397584
DE-MF-000000174,Medicoplast International GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000000201,B. Braun Melsungen AG,MF,DE,CHRN-AR-20000719,B. Braun Medical AG,CHE106032803
DE-MF-000000204,NGMedical GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000000692,Fink & Walter GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000004924,Honeywell Healthcare Solutions GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000004930,IT Dr. Gambert GmbH,MF,DE,CHRN-AR-20002052,medi-lan Schweiz ag,CHE112896203
DE-MF-000004932,Ecolab Deutschland GmbH,MF,DE,CHRN-AR-20001352,Ecolab (Schweiz) GmbH,CHE110221508
DE-MF-000004933,Helago-Pharma GmbH & Co. KG,MF,DE,CHRN-AR-20002218,Pharmapost AG,CHE100609851
DE-MF-000004934,Bluepoint medical GmbH & Co. KG,MF,DE,CHRN-AR-20000675,Leuag AG,CHE106004416
DE-MF-000004938,Hager & Werken GmbH & Co. KG,MF,DE,CHRN-AR-20002305,Tecor-Dental AG,CHE112397584
DE-MF-000004945,Mefina Medical GmbH & Co. KG,MF,DE,CHRN-AR-20002714,AMBU-Tech AG,CHE111784949
DE-MF-000004948,Intigena GmbH & Co. KG,MF,DE,CHRN-AR-20002828,vivacity gmbh,CHE404574621
DE-MF-000004949,QIAGEN GmbH,MF,DE,CHRN-AR-20003472,QIAGEN AG,CHE107647166
DE-MF-000004956,WIROS Wilfried Rosbach GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000004958,Schein Orthopädie Service KG,MF,DE,CHRN-AR-20001403,Decomplix AG,CHE150315179
DE-MF-000004959,HIDREX GmbH,MF,DE,CHRN-AR-20003054,ELLECOM SWISS AG,CHE248667988
DE-MF-000004965,ENDO-FLEX GmbH,MF,DE,CHRN-AR-20001416,ADMEDICS Advanced Medical Solutions AG,CHE108052449
DE-MF-000004966,Hager & Meisinger GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000004967,Primed Halberstadt Medizintechnik GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000004970,Oxmed International GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000004976,Biocomposites GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000004977,Oehm und Rehbein GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000004979,IMAGE Information Systems Europe GmbH,MF,DE,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
DE-MF-000004988,AC Aircontrols GmbH,MF,DE,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
DE-MF-000004992,MediWiss Analytic GmbH,MF,DE,CHRN-AR-20003337,Bencard AG,CHE106431669
DE-MF-000004993,MTW - Endoskopie W. Haag KG,MF,DE,CHRN-AR-20001474,DesoMedical AG,CHE102912763
DE-MF-000005014,Kettenbach GmbH & Co. KG,MF,DE,CHRN-AR-20001661,Kettenbach Schweiz GmbH,CHE376262060
DE-MF-000005020,Karl Kaps GmbH & Co. KG,MF,DE,CHRN-AR-20001409,Mikroskop Technik Diethelm GmbH,CHE109496317
DE-MF-000005032,DKL CHAIRS GmbH,MF,DE,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
DE-MF-000005033,QUESTALPHA GmbH & Co. KG,MF,DE,CHRN-AR-20001661,Kettenbach Schweiz GmbH,CHE376262060
DE-MF-000005034,Bitmos GmbH,MF,DE,CHRN-AR-20001368,Siotec AG,CHE115638531
DE-MF-000005043,KOB GmbH,MF,DE,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
DE-MF-000005048,HS DOMS GmbH,MF,DE,CHRN-AR-20000023,Haag-Streit AG,CHE105968524
DE-MF-000005049,BIOTRONIK SE & Co. KG,MF,DE,CHRN-AR-20000577,Biotronik AG,CHE105233807
DE-MF-000005058,medica Medizintechnik GmbH,MF,DE,CHRN-AR-20002316,Dividat AG,CHE374526319
DE-MF-000005061,Otto Bock Mobility Solutions GmbH,MF,DE,CHRN-AR-20002002,Otto Bock (Schweiz) AG,CHE108678554
DE-MF-000005066,Carl Martin GmbH,MF,DE,CHRN-AR-20002063,Intensiv SA,CHE106876830
DE-MF-000005070,Daniels Medizintechnik GmbH&Co.KG,MF,DE,CHRN-AR-20010668,IMT Integral Medizintechnik AG,CHE102124234
DE-MF-000005071,Baxter Medical Systems GmbH + Co. KG,MF,DE,CHRN-AR-20002193,Baxter Healthcare SA,CHE108744932
DE-MF-000005082,Fasciotens GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000005094,Humedics GmbH,MF,DE,CHRN-AR-20003994,Metecon Schweiz GmbH,CHE163455022
DE-MF-000005100,Möller Medical GmbH,MF,DE,CHRN-AR-20001306,ALBO Healthcare GmbH,CHE115819481
DE-MF-000005104,Occlutech GmbH,MF,DE,CHRN-AR-20000571,Fumedica AG,CHE103747478
DE-MF-000005111,Temena GmbH,MF,DE,CHRN-AR-20001258,Ermed AG,CHE106661488
DE-MF-000005112,Intellitec Healthcare IT Solutions GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000005127,B. Braun Avitum AG,MF,DE,CHRN-AR-20000719,B. Braun Medical AG,CHE106032803
DE-MF-000005131,VITROMED GmbH,MF,DE,CHRN-AR-20010100,Pharmatrend GmbH,CHE115286923
DE-MF-000005149,SMILE Dental-Handelsgesellschaft mbH,MF,DE,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
DE-MF-000005151,BioMed Jena GmbH,MF,DE,CHRN-AR-20002062,Pfenniger Medizintechnik GmbH,CHE478136596
DE-MF-000005158,Asclepion Laser Technologies GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000005160,Telos GmbH Herstellung und Vertrieb medizinisch-technischer Geräte und Arzneimittel,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005161,Thora Tech GmbH,MF,DE,CHRN-AR-20002052,medi-lan Schweiz ag,CHE112896203
DE-MF-000005165,WOLF-Medizintechnik GmbH,MF,DE,CHRN-AR-20002267,medDevice GmbH,CHE180632012
DE-MF-000005178,intra special catheters GmbH,MF,DE,CHRN-AR-20001445,Cosanum AG,CHE107967501
DE-MF-000005179,PHS Medical GmbH,MF,DE,CHRN-AR-20001856,Burg Pharma AG,CHE240657549
DE-MF-000005184,KCL GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000005190,pfm medical mepro,MF,DE,CHRN-AR-20000424,pfm medical cpp SA,CHE107962231
DE-MF-000005212,PRINZ Photonics GmbH,MF,DE,CHRN-AR-20000373,Burkart Medizintechnik AG,CHE114032917
DE-MF-000005236,W. Pelz GmbH & Co. KG,MF,DE,CHRN-AR-20000751,IVF HARTMANN AG,CHE109830474
DE-MF-000005238,LMT Medical Systems GmbH,MF,DE,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
DE-MF-000005242,tricumed Medizintechnik GmbH,MF,DE,CHRN-AR-20002081,siramo AG,CHE114613451
DE-MF-000005262,Akrus GmbH & Co. KG,MF,DE,CHRN-AR-20001600,Medilas AG,CHE108045604
DE-MF-000005281,Plasmaconcept AG,MF,DE,CHRN-AR-20002094,Plasmaconcept GmbH,CHE216152013
DE-MF-000005284,FEG Textiltechnik F&E Gesellschaft mbH,MF,DE,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
DE-MF-000005285,Medical Magnesium GmbH,MF,DE,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
DE-MF-000005286,CODAN Medizinische Geräte GmbH,MF,DE,CHRN-AR-20001725,CODAN Medical AG,CHE107410196
DE-MF-000005290,PS Product Services GmbH,MF,DE,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
DE-MF-000005291,Queisser Pharma GmbH & Co. KG,MF,DE,CHRN-AR-20002196,Biomed AG,CHE105944021
DE-MF-000005296,EUROIMMUN Medizinische Labordiagnostika AG [DE],MF,DE,CHRN-AR-20000980,EUROIMMUN Schweiz AG,CHE113463580
DE-MF-000005304,Kommanditgesellschaft Behnk Elektronik GmbH & Co,MF,DE,CHRN-AR-20003172,Axon Lab AG,CHE106066788
DE-MF-000005311,MiE medical imaging electronics GmbH,MF,DE,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
DE-MF-000005313,Medio-Haus-Medizinprodukte GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000005317,MT MonitorTechnik GmbH & Co. KG,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005321,BÖSL Medizintechnik GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005322,Pharma Aldenhoven GmbH & Co. KG,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005328,DEHAS Medical Systems GmbH,MF,DE,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
DE-MF-000005329,Drägerwerk AG & Co. KGaA,MF,DE,CHRN-AR-20000335,Dräger Schweiz AG,CHE105927413
DE-MF-000005332,provita medical gmbh & co. kg,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005338,MCS ConPharm GmbH,MF,DE,CHRN-AR-20001416,ADMEDICS Advanced Medical Solutions AG,CHE108052449
DE-MF-000005342,Rhein Device GmbH,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005349,Schnitzler Rettungsprodukte GmbH & Co. KG,MF,DE,CHRN-AR-20002714,AMBU-Tech AG,CHE111784949
DE-MF-000005352,MEDINORM Medizintechnik GmbH,MF,DE,CHRN-AR-20001738,Allenspach Medical AG,CHE101808933
DE-MF-000005360,Medizintechnik Promedt GmbH,MF,DE,CHRN-AR-20002081,siramo AG,CHE114613451
DE-MF-000005362,Philips Medical Systems DMC GmbH,MF,DE,CHRN-AR-20001770,Philips AG,CHE105936079
DE-MF-000005371,Oriplast GmbH,MF,DE,CHRN-AR-20000335,Dräger Schweiz AG,CHE105927413
DE-MF-000005373,Wolfgang Meiners Medizintechnik GmbH,MF,DE,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
DE-MF-000005407,CB Dental Reg. GmbH,MF,DE,CHRN-AR-20001773,SVIS Regulatory Services GmbH,CHE195349743
DE-MF-000005414,BEGO Bremer Goldschlägerei,MF,DE,CHRN-AR-20000674,OMCS Medical GmbH,CHE132539953
DE-MF-000005416,SanaPro Dental GmbH,MF,DE,CHRN-AR-20002293,Karr Dental AG,CHE107867839
DE-MF-000005418,MeVis Medical Solutions AG,MF,DE,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
DE-MF-000005419,Localite,MF,DE,CHRN-AR-20001927,NEUROLITE AG,CHE433077715
DE-MF-000005422,Beurer GmbH,MF,DE,CHRN-AR-20002115,Beurer Schweiz AG,CHE361902755
DE-MF-000005426,NVT GmbH,MF,DE,CHRN-AR-20001397,Biosensors Europe SA,CHE112284230
DE-MF-000005446,Berchtold GmbH & Co. KG,MF,DE,CHRN-AR-20001267,Stryker-Osteonics AG,CHE376655198
DE-MF-000005447,MTS Medical AG,MF,DE,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
DE-MF-000005452,Dreve Dentamid GmbH,MF,DE,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
DE-MF-000005459,Dreve Otoplastik GmbH,MF,DE,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
DE-MF-000005464,Berger Surgical Medical Products GmbH,MF,DE,CHRN-AR-20001738,Allenspach Medical AG,CHE101808933
DE-MF-000005468,PSM Medical GmbH,MF,DE,CHRN-AR-20000652,The Tao of Excellence GmbH,CHE492682283
DE-MF-000005470,SCHULTE-ELEKTRONIK GmbH,MF,DE,CHRN-AR-20002052,medi-lan Schweiz ag,CHE112896203
DE-MF-000005478,Metrax GmbH,MF,DE,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
DE-MF-000005479,Ackermann Instrumente GmbH,MF,DE,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
DE-MF-000005482,Albert Hohlkörper GmbH & Co. KG,MF,DE,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
DE-MF-000005489,MedXpert GmbH,MF,DE,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
DE-MF-000005491,Vitalitec International GmbH,MF,DE,CHRN-AR-20000571,Fumedica AG,CHE103747478
DE-MF-000005492,WQS Management Consultants GmbH,MF,DE,CHRN-AR-20001638,semperhogg gmbh,CHE380103714
DE-MF-000005494,Joline GmbH & Co. KG,MF,DE,CHRN-AR-20001222,nexamedic SA,CHE292506716
DE-MF-000005498,Erbe Elektromedizin GmbH,MF,DE,CHRN-AR-20000358,Erbe Swiss AG,CHE106485702
